QMUI/QMUI_Android,3379,0
square/moshi,3372,904
codecentric/spring-boot-admin,3361,729
spring-projects/spring-mvc-showcase,3346,0
orfjackal/retrolambda,3339,0
kyleduo/SwitchButton,3325,0
chrisbanes/ActionBar-PullToRefresh,3307,0
JoanZapata/android-iconify,3300,0
apache/zeppelin,3300,11488
shardingjdbc/sharding-jdbc,3291,2242
Tapadoo/Alerter,3290,0
knightliao/disconf,3285,706
antlr/antlr4,3285,2124
airbnb/epoxy,3284,1128
orientechnologies/orientdb,3279,1893
google/error-prone,3278,802
JodaOrg/joda-time,3278,453
alibaba/jstorm,3274,0
zaproxy/zaproxy,3273,4034
NanoHttpd/nanohttpd,3272,368
saiwu-bigkoo/Android-ConvenientBanner,3267,0
Alluxio/alluxio,3258,0
mcxiaoke/packer-ng-plugin,3224,0
KeepSafe/TapTargetView,3223,0
grantland/android-autofittextview,3211,0
actorapp/actor-platform,3198,1009
lightbend/config,3198,524
Yalantis/Context-Menu.Android,3195,0
react-community/react-native-image-picker,3186,0
hongyangAndroid/FlowLayout,3183,0
Ramotion/folding-cell-android,3182,0
baoyongzhang/SwipeMenuListView,3175,0
bauerca/drag-sort-listview,3169,0
pagehelper/Mybatis-PageHelper,3153,29
xuxueli/xxl-job,3151,282
yanzhenjie/NoHttp,3150,20
HotBitmapGG/bilibili-android-client,3148,0
avast/android-butterknife-zelezny,3142,0
johncarl81/parceler,3141,752
yarolegovich/DiscreteScrollView,3139,0
rengwuxian/RxJavaSamples,3113,0
bingoogolapple/BGAQRCode-Android,3107,0
timehop/sticky-headers-recyclerview,3097,0
dropbox/hackpad,3089,0
yangfuhai/afinal,3085,0
apache/rocketmq,3081,985
real-logic/aeron,3079,0
firebase/quickstart-android,3059,373
rockerhieu/emojicon,3058,143
udacity/Sunshine-Version-2,3054,0
ivacf/archi,3052,0
bluelinelabs/LoganSquare,3051,57
apache/flink,3045,21754
stephanenicolas/robospice,3045,965
alibaba/UltraViewPager,3042,0
asLody/VirtualApp,3042,0
Atmosphere/atmosphere,3041,676
keyboardsurfer/Crouton,3037,0
CellularPrivacy/Android-IMSI-Catcher-Detector,3035,2087
wdullaer/MaterialDateTimePicker,3032,63
MindorksOpenSource/android-interview-questions,3032,0
NLPchina/elasticsearch-sql,3029,717
elasticjob/elastic-job,3024,0
wasabeef/Blurry,3020,0
twitter/heron,3012,5848
xcc3641/SeeWeather,3009,34
ctripcorp/apollo,3008,1654
JetBrains/ideavim,3008,0
tangqi92/Android-Tips,3006,0
tyrantgit/ExplosionField,3002,0
pili-engineering/PLDroidPlayer,2982,0
pengjianbo/GalleryFinal,2982,0
kikoso/android-stackblur,2980,0
gzu-liyujiang/AndroidPicker,2969,126
rubensousa/RecyclerViewSnap,2962,0
ryanhoo/StylishMusicPlayer,2959,0
dinuscxj/LoadingDrawable,2958,0
nicolasgramlich/AndEngine,2943,0
ArthurHub/Android-Image-Cropper,2932,257
zetbaitsu/Compressor,2923,0
alibaba/DataX,2916,0
jgilfelt/android-viewbadger,2915,0
ChadCSong/ShineButton,2908,51
yanzhenjie/AndPermission,2907,0
hibernate/hibernate-orm,2902,0
yahoo/anthelion,2900,0
Activiti/Activiti,2898,1332
ManuelPeinado/FadingActionBar,2896,0
jankotek/mapdb,2894,1333
saulmm/Android-Material-Examples,2892,0
puniverse/quasar,2890,1626
baoyachi/StepView,2887,0
MindorksOpenSource/from-java-to-kotlin,2887,0
lcodecorex/TwinklingRefreshLayout,2885,0
careercup/CtCI-6th-Edition,2882,0
Karumi/Dexter,2870,439
jgilfelt/chuck,2863,0
Tencent/angel,2858,610
race604/FlyRefresh,2848,0
OpenTSDB/opentsdb,2838,1096
yigit/android-priority-jobqueue,2838,95
litesuits/android-common,2826,0
rubensousa/ViewPagerCards,2826,0
robinhood/ticker,2817,0
gabrielemariotti/RecyclerViewItemAnimators,2814,0
hugeterry/CoordinatorTabLayout,2814,0
daimajia/AndroidViewHover,2798,21
yangfuhai/ASimpleCache,2795,0
LuckSiege/PictureSelector,2784,0
jasonross/Nuwa,2782,0
pedrovgs/DraggablePanel,2775,135
wuhaoyu1990/MagicCamera,2773,0
MiguelCatalan/MaterialSearchView,2772,0
Justson/AgentWeb,2771,0
andremion/Music-Player,2753,0
biezhi/blade,2752,0
lzyzsd/CircleProgress,2736,0
alamkanak/Android-Week-View,2727,0
Manabu-GT/ExpandableTextView,2727,0
barteksc/AndroidPdfViewer,2720,0
drakeet/MultiType,2703,202
amitshekhariitbhu/RxJava2-Android-Samples,2699,0
lsjwzh/RecyclerViewPager,2695,0
psaravan/JamsMusicPlayer,2694,0
SimonVT/android-menudrawer,2693,177
hitherejoe/animate,2691,0
Microsoft/malmo,2687,951
jpush/aurora-imui,2685,0
ongakuer/CircleIndicator,2685,0
google/cameraview,2684,0
stleary/JSON-java,2677,0
h2oai/h2o-3,2667,48
google/google-authenticator,2667,84
Tencent/GT,2665,0
qii/weiciyuan,2663,0
amitshekhariitbhu/Fast-Android-Networking,2660,529
siacs/Conversations,2655,2156
xcltapestry/XCL-Charts,2655,0
JulienGenoud/android-percent-support-lib-sample,2654,0
airbnb/native-navigation,2646,0
cyrilmottier/GreenDroid,2644,0
Ashok-Varma/BottomNavigation,2641,91
rest-assured/rest-assured,2641,558
hs-web/hsweb-framework,2640,444
dmytrodanylyk/android-process-button,2639,0
airbnb/DeepLinkDispatch,2634,385
codeestX/GeekNews,2631,0
openaphid/android-flip,2628,0
checkstyle/checkstyle,2627,13552
yanzhenjie/SwipeRecyclerView,2623,0
ragunathjawahar/android-saripaar,2622,89
flyway/flyway,2622,1433
code-troopers/android-betterpickers,2621,0
SpecialCyCi/AndroidResideMenu,2616,0
lovetuzitong/MultiImageSelector,2609,0
google/grafika,2608,0
jfeinstein10/JazzyViewPager,2608,0
TeamNewPipe/NewPipe,2606,1842
bluelinelabs/Conductor,2601,417
NYTimes/Store,2596,802
sherxon/AlgoDS,2595,0
alibaba/otter,2590,0
yipianfengye/android-zxingLibrary,2584,0
Skykai521/StickerCamera,2584,0
pushtorefresh/storio,2569,1541
aurelhubert/ahbottomnavigation,2565,0
amulyakhare/TextDrawable,2564,0
johannilsson/android-pulltorefresh,2558,0
jwtk/jjwt,2556,481
Jacksgong/JKeyboardPanelSwitch,2553,105
yui/yuicompressor,2553,204
Malinskiy/SuperRecyclerView,2550,20
socketio/socket.io-client-java,2539,228
nisrulz/android-tips-tricks,2538,0
edmodo/cropper,2534,0
arimorty/floatingsearchview,2533,0
