iluwatar/java-design-patterns,27552,2556
elastic/elasticsearch,27347,371
square/retrofit,25399,3354
square/okhttp,24038,8320
google/guava,20858,1749
PhilJay/MPAndroidChart,19563,0
JetBrains/kotlin,19554,0
JakeWharton/butterknife,19418,1467
bumptech/glide,19257,1096
spring-projects/spring-boot,18682,12887
spring-projects/spring-framework,18016,0
square/leakcanary,17819,738
airbnb/lottie-android,17613,966
greenrobot/EventBus,16750,310
zxing/zxing,16680,803
kdn251/interviews,16677,0
nostra13/Android-Universal-Image-Loader,15859,513
google/iosched,15206,240
Blankj/AndroidUtilCode,14984,362
square/picasso,14662,1415
ReactiveX/RxAndroid,14585,774
alibaba/dubbo,14512,692
facebook/fresco,13844,0
libgdx/libgdx,13052,0
netty/netty,12075,41
chrisbanes/PhotoView,12044,172
Netflix/Hystrix,11969,1390
afollestad/material-dialogs,11915,422
alibaba/fastjson,11839,2201
CymChad/BaseRecyclerViewAdapterHelper,11340,707
jfeinstein10/SlidingMenu,10814,0
Tencent/tinker,10788,0
lgvalle/Material-Animations,10715,0
android10/Android-CleanArchitecture,10491,228
nickbutcher/plaid,10242,0
loopj/android-async-http,10092,532
androidannotations/androidannotations,9933,1565
JakeWharton/ViewPagerIndicator,9509,105
daimajia/AndroidSwipeLayout,9327,327
greenrobot/greenDAO,9177,468
pockethub/PocketHub,9111,1293
alibaba/druid,9079,287
nathanmarz/storm,9060,0
facebook/stetho,8931,870
realm/realm-java,8884,0
googlesamples/android-UniversalMusicPlayer,8743,0
SeleniumHQ/selenium,8734,3278
daimajia/AndroidViewAnimations,8706,129
hdodenhof/CircleImageView,8653,0
liaohuqiu/android-Ultra-Pull-To-Refresh,8651,159
DrKLO/Telegram,8628,0
mikepenz/MaterialDrawer,8622,872
google/ExoPlayer,8571,0
chrisbanes/Android-PullToRefresh,8537,0
WhisperSystems/Signal-Android,8532,0
navasmdc/MaterialDesignLibrary,8528,0
winterbe/java8-tutorial,8382,0
scwang90/SmartRefreshLayout,8363,0
ksoichiro/Android-ObservableScrollView,8361,211
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,8342,147
orhanobut/logger,8110,61
deeplearning4j/deeplearning4j,7904,3157
bazelbuild/bazel,7796,194
HannahMitt/HomeMirror,7739,0
roughike/BottomBar,7489,268
JakeWharton/ActionBarSherlock,7347,271
wasabeef/recyclerview-animators,7283,181
openzipkin/zipkin,7238,6463
chrisbanes/cheesesquare,7222,0
chrisjenx/Calligraphy,7216,0
apl-devs/AppIntro,7176,0
aosp-mirror/platform_frameworks_base,7080,0
eclipse/vert.x,7056,0
umano/AndroidSlidingUpPanel,7045,0
perwendel/spark,6941,1147
apache/kafka,6916,0
google/agera,6911,392
alibaba/vlayout,6906,0
florent37/MaterialViewPager,6868,269
prestodb/presto,6860,28665
LMAX-Exchange/disruptor,6850,0
clojure/clojure,6844,0
Freelander/Android_Data,6819,0
JackyAndroid/AndroidInterview-Q-A,6817,0
JakeWharton/RxBinding,6681,999
junit-team/junit4,6600,1130
square/dagger,6573,1073
Curzibn/Luban,6501,40
Tencent/VasSonic,6461,0
jeasonlzy/okhttp-OkGo,6429,0
shuzheng/zheng,6403,51
81813780/AVLoadingIndicatorView,6395,0
Bearded-Hen/Android-Bootstrap,6389,0
astuetz/PagerSlidingTabStrip,6368,0
Yalantis/uCrop,6356,0
mybatis/mybatis-3,6344,1479
skylot/jadx,6303,371
permissions-dispatcher/PermissionsDispatcher,6293,752
Bilibili/DanmakuFlameMaster,6228,575
cymcsg/UltimateRecyclerView,6221,408
dropwizard/dropwizard,6219,4369
Netflix/SimianArmy,6042,101
kaushikgopal/RxJava-Android-Samples,6038,0
Bigkoo/Android-PickerView,6030,0
xetorthio/jedis,6001,2147
google/physical-web,5990,1372
google/guice,5973,373
hongyangAndroid/okhttputils,5960,0
google/auto,5940,866
gradle/gradle,5922,4559
druid-io/druid,5823,14348
mockito/mockito,5781,3169
zhihu/Matisse,5771,204
hongyangAndroid/AndroidAutoLayout,5764,0
googlesamples/android-architecture-components,5756,0
code4craft/webmagic,5747,966
brettwooldridge/HikariCP,5701,2756
nhaarman/ListViewAnimations,5646,347
lingochamp/FileDownloader,5639,477
lipangit/JiaoZiVideoPlayer,5612,0
JakeWharton/hugo,5595,137
wix/react-native-navigation,5529,3224
koush/ion,5521,0
koral--/android-gif-drawable,5484,854
iBotPeaches/Apktool,5448,517
alibaba/atlas,5440,0
geeeeeeeeek/WeChatLuckyMoney,5432,170
H07000223/FlycoTabLayout,5429,0
aritraroy/UltimateAndroidReference,5417,0
rzwitserloot/lombok,5403,0
dropwizard/metrics,5383,1765
pedrovgs/EffectiveAndroidUI,5357,48
facebook/buck,5354,6822
DroidPluginTeam/DroidPlugin,5351,0
pedant/sweet-alert-dialog,5343,0
jhy/jsoup,5320,606
lecho/hellocharts-android,5264,0
rey5137/material,5258,0
JetBrains/intellij-community,5245,0
futuresimple/android-floating-action-button,5201,0
JakeWharton/u2020,5193,858
wasabeef/glide-transformations,5190,0
tbruyelle/RxPermissions,5183,282
evant/gradle-retrolambda,5170,0
emilsjolander/StickyListHeaders,5144,0
springside/springside4,5111,451
amlcurran/ShowcaseView,5103,0
lucasr/twoway-view,5092,65
didi/VirtualAPK,5080,0
hankcs/HanLP,5068,0
JakeWharton/timber,5057,453
singwhatiwanna/dynamic-load-apk,5019,0
ogaclejapan/SmartTabLayout,5003,0
ChrisRM/material-theme-jetbrains,5001,0
naver/pinpoint,4996,4995
google/j2objc,4981,527
square/otto,4968,259
wyouflf/xUtils,4965,0
trello/RxLifecycle,4922,190
OpenRefine/OpenRefine,4915,853
facebook/rebound,4867,155
googlesamples/android-testing,4845,0
rengwuxian/MaterialEditText,4830,0
YoKeyword/Fragmentation,4809,151
antoniolg/androidmvp,4808,0
googlesamples/easypermissions,4800,187
koush/AndroidAsync,4775,0
claritylab/lucida,4753,531
gabrielemariotti/cardslib,4743,152
daimajia/AndroidImageSlider,4740,135
apache/storm,4686,8091
ikew0ng/SwipeBackLayout,4681,0
jgilfelt/SystemBarTint,4645,0
wyouflf/xUtils3,4644,0
GcsSloop/AndroidNote,4639,0
etsy/AndroidStaggeredGrid,4628,0
sparklemotion/nokogiri,4627,1226
youth5201314/banner,4620,0
swagger-api/swagger-core,4614,3218
thinkaurelius/titan,4598,485
Trinea/android-common,4584,0
dmytrodanylyk/circular-progress-button,4574,0
daimajia/NumberProgressBar,4571,373
apache/hadoop,4539,0
laobie/StatusBarUtil,4534,0
pardom/ActiveAndroid,4528,261
traex/RippleEffect,4514,0
eclipse/che,4494,458
vinc3m1/RoundedImageView,4485,0
Netflix/eureka,4480,277
neo4j/neo4j,4474,0
square/javapoet,4460,1597
square/okio,4456,846
frogermcs/InstaMaterial,4454,0
yixia/VitamioBundle,4451,0
Devlight/InfiniteCycleViewPager,4440,0
mcxiaoke/android-volley,4431,0
go-lang-plugin-org/go-lang-idea-plugin,4431,2157
CyberAgent/android-gpuimage,4429,198
square/sqlbrite,4429,582
daniulive/SmarterStreaming,4414,0
google/android-classyshark,4407,0
Yalantis/Side-Menu.Android,4377,0
facebook/facebook-android-sdk,4341,247
lwansbrough/react-native-camera,4308,0
aporter/coursera-android,4307,0
JakeWharton/NineOldAndroids,4305,24
AndroidBootstrap/android-bootstrap,4298,62
facebook/litho,4277,0
alibaba/freeline,4273,0
commonsguy/cw-omnibus,4259,0
kickstarter/android-oss,4245,0
LitePalFramework/LitePal,4236,0
scribejava/scribejava,4228,510
Nightonke/BoomMenu,4197,12
izzyleung/ZhihuDailyPurify,4191,0
shwenzhang/AndResGuard,4179,256
danielzeller/Depth-LIB-Android-,4144,0
leolin310148/ShortcutBadger,4142,0
chentao0707/SimplifyReader,4136,0
crazycodeboy/TakePhoto,4127,0
sockeqwe/mosby,4092,421
stanfordnlp/CoreNLP,4089,478
AsyncHttpClient/async-http-client,4074,1215
ACRA/acra,4061,0
CarGuo/GSYVideoPlayer,4044,317
apache/cassandra,4039,0
Qihoo360/RePlugin,4036,0
ybq/Android-SpinKit,4028,0
JakeWharton/DiskLruCache,4024,137
square/android-times-square,4020,392
mission-peace/interview,3990,0
